rank,contry_of_res,life_q
1,Switzerland,195.27
2,Denmark,192.36
3,Netherlands,185.38
4,Finland,184.96
5,Australia,183.81
6,Iceland,182.26
7,Germany,180.27
8,Austria,179.16
9,New Zealand,176.81
10,Norway,176.39
11,Sweden,175.3
12,Estonia,174.19
13,Oman,173.68
14,Luxembourg,173.63
15,United States,170.72
16,Japan,169.48
17,Slovenia,169.04
18,Spain,168.48
19,Czech Republic,162.64
20,Portugal,162.52
21,Lithuania,161.84
22,United Kingdom,161.74
23,Canada,160.38
24,United Arab Emirates,160.38
25,Croatia,159.21
26,France,156.65
27,Qatar,154.53
28,Ireland,154.52
29,Belgium,151.86
30,Singapore,151.59
31,Slovakia,151.16
32,Latvia,150.81
33,Saudi Arabia,149.54
34,Cyprus,147.1
35,Israel,146.06
36,Italy,141.07
37,Taiwan,140.15
38,Poland,140.02
39,Hungary,137.15
40,South Africa,136.02
41,Puerto Rico,133.77
42,Romania,133.38
43,Bulgaria,130.09
44,Greece,129.24
45,Bosnia and Herzegovina,127.07
46,South Korea,125.04
47,Mexico,124.9
48,Turkey,124.05
49,Uruguay,122.26
50,Costa Rica,122.07
51,Georgia,121.14
52,Ecuador,118.84
53,Malaysia,117.98
54,Kuwait,117.34
55,Serbia,117.23
56,Tunisia,114.56
57,Panama,114.32
58,Jordan,113.92
59,Ukraine,111.93
60,India,110.99
61,North Macedonia,109.6
62,Malta,109.5
63,Belarus,108.48
64,Morocco,107.54
65,Brazil,107.04
66,Argentina,105.42
67,China,105.07
68,Azerbaijan,104.1
69,Colombia,103.54
70,Russia,103.28
71,Pakistan,102.57
72,Thailand,100.97
73,Chile,100.15
74,Lebanon,99.35
75,Hong Kong,98.42
76,Kazakhstan,93.77
77,Kenya,92.54
78,Indonesia,90.36
79,Viet nam,89.95
80,Egypt,89.87
81,Philippines,83.74
82,Peru,80.42
83,Venezuela,77.43
84,Sri Lanka,67.88
85,Bangladesh,67.59
86,Iran,64.89
87,Nigeria,52.44
